Game,Round,Home,Away,Home Score,Away Score
1,5,Winner of #2,Winner of #3,0,0
2,4,Winner of #4,Winner of #5,0,0
3,4,Winner of #6,Winner of #7,0,0
4,3,Winner of #8,Winner of #9,0,0
5,3,Winner of #10,Winner of #11,0,0
6,3,Winner of #12,Winner of #13,0,0
7,3,Winner of #14,Winner of #15,0,0
8,2,Winner of #16,Winner of #17,0,0
9,2,Winner of #18,Winner of #19,0,0
10,2,Winner of #20,Winner of #21,0,0
11,2,Winner of #22,Winner of #23,0,0
12,2,Winner of #24,Winner of #25,0,0
13,2,Winner of #26,Winner of #27,0,0
14,2,Winner of #28,Winner of #29,0,0
15,2,Winner of #30,Winner of #31,0,0
16,1,Winner of #32,Winner of #33,0,0
17,1,Winner of #34,Winner of #35,0,0
18,1,Winner of #36,Winner of #37,0,0
19,1,Winner of #38,Winner of #39,0,0
20,1,Winner of #40,Winner of #41,0,0
21,1,Winner of #42,Winner of #43,0,0
22,1,Winner of #44,Winner of #45,0,0
23,1,Winner of #46,Winner of #47,0,0
24,1,Winner of #48,Winner of #49,0,0
25,1,Winner of #50,Winner of #51,0,0
26,1,Winner of #52,Winner of #53,0,0
27,1,Winner of #54,Winner of #55,0,0
28,1,Winner of #56,Winner of #57,0,0
29,1,Winner of #58,Winner of #59,0,0
30,1,Winner of #60,Winner of #61,0,0
31,1,Winner of #62,Winner of #63,0,0
32,0,328,43,0,0
33,0,157,164,0,0
34,0,392,649,0,0
35,0,107,277,0,0
36,0,29,782,0,0
37,0,415,86,0,0
38,0,312,690,0,0
39,0,739,456,0,0
40,0,529,665,0,0
41,0,606,140,0,0
42,0,51,813,0,0
43,0,193,460,0,0
44,0,703,504,0,0
45,0,697,794,0,0
46,0,528,740,0,0
47,0,522,94,0,0
48,0,457,28755,0,0
49,0,657,556,0,0
50,0,306,693,0,0
51,0,334,683,0,0
52,0,513,418,0,0
53,0,768,676,0,0
54,0,796,545,0,0
55,0,812,758,0,0
56,0,746,270,0,0
57,0,700,87,0,0
58,0,559,32,0,0
59,0,311,310,0,0
60,0,635,260,0,0
61,0,732,96,0,0
62,0,175,688,0,0
63,0,416,419,0,0
